image_path,image_R,image_G,image_B,image_S1,image_S2,image_S3,image_S4,image_S5,image_S6,image_S7,label,case
D:\Github\RGB-S\data\simulation_binary_1//images//00011,D:\Github\RGB-S\data\simulation_binary_1//images//00011_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00011_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00012,D:\Github\RGB-S\data\simulation_binary_1//images//00012_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00012_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00013,D:\Github\RGB-S\data\simulation_binary_1//images//00013_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00013_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00014,D:\Github\RGB-S\data\simulation_binary_1//images//00014_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00014_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00015,D:\Github\RGB-S\data\simulation_binary_1//images//00015_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00015_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00016,D:\Github\RGB-S\data\simulation_binary_1//images//00016_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00016_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00017,D:\Github\RGB-S\data\simulation_binary_1//images//00017_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00017_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00018,D:\Github\RGB-S\data\simulation_binary_1//images//00018_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00018_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00019,D:\Github\RGB-S\data\simulation_binary_1//images//00019_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00019_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00020,D:\Github\RGB-S\data\simulation_binary_1//images//00020_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00020_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00021,D:\Github\RGB-S\data\simulation_binary_1//images//00021_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00021_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00022,D:\Github\RGB-S\data\simulation_binary_1//images//00022_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00022_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00023,D:\Github\RGB-S\data\simulation_binary_1//images//00023_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00023_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00024,D:\Github\RGB-S\data\simulation_binary_1//images//00024_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00024_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00025,D:\Github\RGB-S\data\simulation_binary_1//images//00025_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00025_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00026,D:\Github\RGB-S\data\simulation_binary_1//images//00026_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00026_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00027,D:\Github\RGB-S\data\simulation_binary_1//images//00027_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00027_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00028,D:\Github\RGB-S\data\simulation_binary_1//images//00028_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00028_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00029,D:\Github\RGB-S\data\simulation_binary_1//images//00029_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00029_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00030,D:\Github\RGB-S\data\simulation_binary_1//images//00030_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00030_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00031,D:\Github\RGB-S\data\simulation_binary_1//images//00031_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00031_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00032,D:\Github\RGB-S\data\simulation_binary_1//images//00032_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00032_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00033,D:\Github\RGB-S\data\simulation_binary_1//images//00033_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00033_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00034,D:\Github\RGB-S\data\simulation_binary_1//images//00034_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00034_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00035,D:\Github\RGB-S\data\simulation_binary_1//images//00035_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00035_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00036,D:\Github\RGB-S\data\simulation_binary_1//images//00036_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00036_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00037,D:\Github\RGB-S\data\simulation_binary_1//images//00037_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00037_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00038,D:\Github\RGB-S\data\simulation_binary_1//images//00038_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00038_07.png,1,Train
